#Distpc,HIP#,HD#,Vmag,B-V,eB-V,plx,eplx,Ref_plx,Mv,category,SpT,Ref_SpT,BCv,Mbol,logL,target lists,Habex#,HIP#,L-A,L-B,Hab,SR1,SR3,#lists,logR'HK,RefR'HK,vsini,RefVsini,Msun,SpT,HIP#,Teff,HD#,notes,Teff,eTeff,ref_Teff,BCv,log(g),elog(g),ref_logg,[Fe/H],e[Fe/H],ref_FeH,Rsun,Solar Twin?,"sigRV(AF,vsini)",N(<6500K),N(vsini),N(F7-K9),"N(Teff,vsini)",#lists,Sample,HIP#,HD#,NEID,HIP,solRad,_RAJ2000,_DEJ2000
11.867,HIP 107556,HD_207098,2.85,0.180,0.150,84.27,0.19,HIP2,2.48,hot,kA5hF0mF2III,2006AJ....132..161G,0.01,2.49,0.901,"L-A,L-B,Hab",82,HIP 107556,1,1,1,0,0,3,,,91.4,Glebocki05,1.52,kA5hF0mF2III,HIP 107556,0,HD_207098,high vsini,8000,NA,NA,,4.20,NA,NA,0.00,0.00,NA,1.468,0,0.00,0,0,0,0,3,NO,HIP 107556,HD_207098,0,HIP 107556,,,_
13.479,HIP 46853,HD_82328,3.17,0.475,0.018,74.19,0.14,HIP2,2.52,hot,F5.5IV-V,2003AJ....126.2048G,-0.025,2.50,0.897,"L-A,L-B",,HIP 46853,1,1,0,0,0,2,-4.333,BoroSaikia18,7.1,Glebocki05,1.29,F5.5IV-V,HIP 46853,0,HD_82328,hot,6364,63,2013ApJ...764...78R,,3.88,0.01,2013ApJ...764...78R,-0.19,0.04,2013ApJ...764...78R,2.311,0,#DIV/0!,1,1,0,2,2,NO,HIP 46853,HD_82328,0,HIP 46853,2.15937767,143.21431,51.6773
8.068,HIP 22449,HD_30652,3.19,0.484,0.003,123.94,0.17,HIP2,3.66,hot,F6V,1973ARA&A..11...29M,-0.03,3.63,0.446,"L-A,L-B,Hab,SR1",28,HIP 22449,1,1,2,1,0,5,-4.650,Wright04,15.3,Glebocki05,1.25,F6V,HIP 22449,1,HD_30652,hot,6477,56,2013ApJ...764...78R,,4.29,0.02,2013ApJ...764...78R,0.00,0.08,2013ApJ...764...78R,1.326,0,#DIV/0!,1,0,0,1,5,NO,HIP 22449,HD_30652,0,HIP 22449,1.32583305,72.460045,6.9612756
16.570,HIP 71908,HD_128898,3.18,0.256,0.012,60.35,0.14,HIP2,2.08,hot,A7VpSrCrEu,2006AJ....132..161G,0.025,2.11,1.053,L-A,,HIP 71908,1,0,0,0,0,1,,,13.3,Glebocki05,1.76,A7VpSrCrEu,HIP 71908,0,HD_128898,hot,7426,NA,2012A&A...542A.116A,,4.20,NA,NA,0.00,0.00,NA,2.030,0,#DIV/0!,0,0,0,0,1,NO,HIP 71908,HD_128898,0,HIP 71908,1.74497915,220.62675,-64.975136
14.265,HIP 102422,HD_198149,3.41,0.912,0.002,70.1,0.11,HIP2,2.64,Sun-like,K0IV,1989ApJS...71..245K,-0.19,2.45,0.917,"L-A,Hab",89,HIP 102422,1,0,1,0,0,2,OK?,,1.7,Glebocki05,1.23,K0IV,HIP 102422,0,HD_198149,subgiant,5002,28,2015A&A...580A..24D,,3.43,0.15,2015A&A...580A..24D,-0.09,0.05,2015A&A...580A..24D,3.825,0,0.00,1,2,1,4,2,MUST,HIP 102422,HD_198149,0,HIP 102422,3.19178611,311.3224,61.838783
8.310,HIP 86974,HD_161797,3.42,0.750,0.015,120.33,0.16,HIP2,3.82,Sun-like,G5IV,1989ApJS...71..245K,-0.105,3.72,0.409,SR1,,HIP 86974,0,0,0,1,0,1,-5.077,Isaacson10,1.9,Glebocki05,0.98,G5IV,HIP 86974,0,HD_161797,quiet,5562,35,2015A&A...574A..50J,,3.98,0.05,2015A&A...574A..50J,0.28,0.05,2015A&A...574A..50J,1.725,0,0.00,1,2,1,4,1,WANT,HIP 86974,HD_161797,GTO,HIP 86974,1.67743943,266.6147,27.720676
9.041,HIP 17378,HD_23249,3.52,0.915,0.018,110.61,0.22,HIP2,3.74,Sun-like,K0+IV,1989ApJS...71..245K,-0.19,3.55,0.476,"L-A,L-B,Hab",36,HIP 17378,1,1,2,0,0,4,-5.184,Baliunas96,1.0,Glebocki05,0.87,K0+IV,HIP 17378,0,HD_23249,quiet,5144,33,2015A&A...574A..50J,,3.95,0.05,2015A&A...574A..50J,0.00,0.04,2015A&A...574A..50J,2.179,0,0.00,1,2,1,4,4,MUST,HIP 17378,HD_23249,GTO,HIP 17378,1.63603812,55.81209,-9.763394
3.650,HIP 8102,HD_10700,3.49,0.727,0.007,273.96,0.17,HIP2,5.68,Sun-like,G8V,1989ApJS...71..245K,-0.14,5.54,-0.319,"L-A,L-B,Hab,SR1",8,HIP 8102,1,1,3,1,0,6,-4.958,Baliunas96,0.9,Glebocki05,0.94,G8V,HIP 8102,1,HD_10700,quiet,5331,43,2014A&A...564A.133J,,4.44,0.02,2014A&A...564A.133J,-0.49,0.01,2014A&A...564A.133J,0.812,0,0.00,1,2,1,4,6,MUST,HIP 8102,HD_10700,stan/GTO,HIP 8102,0.96738135,26.017012,-15.93748
15.373,HIP 95501,HD_182640,3.36,0.319,0.004,65.05,0.81,HIP1,2.43,hot,F1IV-V(n),2001AJ....121.2148G,0.005,2.43,0.924,"L-A,Hab",104,HIP 95501,1,0,1,0,0,2,-4.452,BoroSaikia18,82.2,Glebocki05,1.50,F1IV-V(n),HIP 95501,0,HD_182640,hot,7096,49,2012A&A...537A.120Z,,4.03,NA,2003A&A...398.1121E,-0.04,NA,2003A&A...398.1121E,1.916,0,#DIV/0!,0,0,0,0,2,NO,HIP 95501,HD_182640,0,HIP 95501,1.95920255,291.37457,3.1147752
6.108,HIP 99240,HD_190248,3.55,0.751,0.021,163.71,0.17,HIP2,4.62,Sun-like,G8IV,2006AJ....132..161G,-0.14,4.48,0.104,"L-A,L-B,Hab,SR1",20,HIP 99240,1,1,2,1,0,5,-4.999,Henry96,2.0,Glebocki05,0.94,G8IV,HIP 99240,1,HD_190248,quiet,5566,36,2013A&A...555A.150T,,4.24,0.06,2013A&A...555A.150T,0.32,0.03,2013A&A...555A.150T,1.212,0,0.00,1,2,1,4,5,MUST,HIP 99240,HD_190248,0,HIP 99240,1.21786137,302.1817,-66.18207
5.953,HIP 3821,HD_4614,3.46,0.587,0.003,167.98,0.48,HIP2,4.59,Sun-like,F9V,1989ApJS...71..245K,-0.05,4.54,0.081,"L-A,L-B,Hab",16,HIP 3821,1,1,2,0,0,4,-4.949,Isaacson10,3.4,Glebocki05,1.14,F9V,HIP 3821,0,HD_4614,,5904,32,2010MNRAS.403.1368G,,4.32,0.03,2010MNRAS.403.1368G,-0.25,0.02,2010MNRAS.403.1368G,1.050,0,0.00,1,2,1,4,4,MUST,HIP 3821,HD_4614,GTO,HIP 3821,1.22316811,12.276214,57.815186
3.216,HIP 16537,HD_22049,3.72,0.881,0.007,310.94,0.16,HIP2,6.18,Sun-like,K2V,1989ApJS...71..245K,-0.26,5.92,-0.473,"L-A,L-B,Hab,SR1,SR3",2,HIP 16537,1,1,2,1,1,6,-4.455,Baliunas96,1.9,Glebocki05,0.78,K2V,HIP 16537,0,HD_22049,active,5050,42,2014A&A...564A.133J,,4.60,0.03,2014A&A...564A.133J,-0.09,0.01,2014A&A...564A.133J,0.758,0,0.00,1,2,1,4,6,MUST,HIP 16537,HD_22049,GTO,HIP 16537,0.73296149,53.232685,-9.458262
10.929,HIP 57757,HD_102870,3.59,0.518,0.015,91.5,0.22,HIP2,3.40,Sun-like,F9V,1973ARA&A..11...29M,-0.05,3.35,0.557,"L-A,Hab",54,HIP 57757,1,0,1,0,0,2,-4.880,Isaacson10,3.6,Glebocki05,1.14,F9V,HIP 57757,0,HD_102870,,6083,41,2014A&A...564A.133J,,4.08,0.01,2014A&A...564A.133J,0.24,0.01,2014A&A...564A.133J,1.710,0,0.00,1,2,1,4,2,MUST,HIP 57757,HD_102870,0,HIP 57757,1.61245007,177.67383,1.7647179
8.927,HIP 27072,HD_38393,3.59,0.481,0.011,112.02,0.18,HIP2,3.84,hot,F6.5V,2006AJ....132..161G,-0.0325,3.80,0.374,"L-A,L-B,Hab",35,HIP 27072,1,1,2,0,0,4,-4.774,Henry96,7.2,Glebocki05,1.23,F6.5V,HIP 27072,0,HD_38393,hot,6305,61,2013ApJ...764...78R,,4.29,0.02,2013ApJ...764...78R,-0.09,0.07,2013ApJ...764...78R,1.290,0,#DIV/0!,1,1,0,2,4,NO,HIP 27072,HD_38393,0,HIP 27072,1.31518362,86.11579,-22.448381
13.699,HIP 98036,HD_188512,3.71,0.855,0.007,73,0.2,HIP2,3.03,Sun-like,G8IV,1989ApJS...71..245K,-0.14,2.89,0.741,"L-A,L-B,Hab",79,HIP 98036,1,1,1,0,0,3,-5.173,Baliunas96,2.7,Glebocki05,0.94,G8IV,HIP 98036,1,HD_188512,quiet,5223,26,2015A&A...574A..50J,,3.86,0.04,2015A&A...574A..50J,-0.17,0.05,2015A&A...574A..50J,2.867,0,0.00,1,2,1,4,3,MUST,HIP 98036,HD_188512,0,HIP 98036,1.88624366,298.8283,6.4067636
14.879,HIP 28103,HD_40136,3.71,0.337,0.012,67.21,0.25,HIP2,2.85,hot,F2V,2006AJ....132..161G,-0.005,2.84,0.759,"L-A,L-B,Hab",92,HIP 28103,1,1,1,0,0,3,-4.440,Silverstone00,16.1,Glebocki05,1.44,F2V,HIP 28103,0,HD_40136,hot,6989,100,2013ApJ...764...78R,,4.18,0.03,2013ApJ...764...78R,-0.10,0.10,2013ApJ...764...78R,1.635,0,#DIV/0!,0,0,0,0,3,NO,HIP 28103,HD_40136,0,HIP 28103,1.61515853,89.10122,-14.1677
11.798,HIP 109176,HD_210027,3.77,0.435,0.007,84.7637,0.3596,GaiaDR2,3.41,hot,F5V,2001AJ....121.2148G,-0.02,3.39,0.540,"L-A,L-B,Hab",63,HIP 109176,1,1,1,0,0,3,-4.667,BoroSaikia18,7.7,Glebocki05,1.33,F5V,HIP 109176,1,HD_210027,hot,6495,67,2013ApJ...764...78R,,4.20,0.02,2013ApJ...764...78R,-0.16,0.08,2013ApJ...764...78R,1.470,0,#DIV/0!,1,1,0,2,3,NO,HIP 109176,HD_210027,0,HIP 109176,1.51690973,331.75278,25.345112
13.951,HIP 14879,HD_20010,3.80,0.543,0.015,71.6818,0.307,GaiaDR2,3.08,hot,F6V,2006AJ....132..161G,-0.03,3.05,0.677,L-A,,HIP 14879,1,0,0,0,0,1,-4.833,BoroSaikia18,5.7,Glebocki05,1.25,F6V,HIP 14879,0,HD_20010,hot,6073,78,2013ApJ...764...78R,,3.91,0.03,2013ApJ...764...78R,-0.30,0.05,2013ApJ...764...78R,1.970,0,#DIV/0!,1,1,0,2,1,NO,HIP 14879,HD_20010,0,HIP 14879,2.05347196,48.018867,-28.987617
11.254,HIP 78072,HD_142860,3.85,0.478,0.006,88.86,0.18,HIP2,3.59,hot,F6V,2001AJ....121.2148G,-0.03,3.56,0.471,"L-A,L-B,Hab",57,HIP 78072,1,1,1,0,0,3,-4.820,Wright04,9.9,Glebocki05,1.25,F6V,HIP 78072,1,HD_142860,hot,6313,67,2013ApJ...764...78R,,4.20,0.05,2013ApJ...764...78R,-0.19,0.07,2013ApJ...764...78R,1.437,0,#DIV/0!,1,1,0,2,3,NO,HIP 78072,HD_142860,0,HIP 78072,1.47058088,239.11327,15.661617
5.123,HIP 88601,HD_165341,4.03,0.860,0.010,195.2166,0.1012,GaiaDR2,5.48,Sun-like,K0-V,1989ApJS...71..245K,-0.19,5.29,-0.221,"L-A,L-B",,HIP 88601,1,1,0,0,0,2,-4.548,Baliunas96,3.7,Glebocki05,0.88,K0-V,HIP 88601,0,HD_165341,active,5394,79,2013ApJ...764...78R,,4.56,0.03,2013ApJ...764...78R,0.07,0.06,2013ApJ...764...78R,0.888,0,0.00,1,2,1,4,2,MUST,HIP 88601,HD_165341,0,HIP 88601,0.81522066,271.36368,2.5000994
19.440,HIP 27321,HD_39060,3.85,0.175,0.005,51.44,0.12,HIP2,2.40,hot,A6V,2006AJ....132..161G,0.015,2.42,0.929,Hab,143,HIP 27321,0,0,1,0,0,1,,,121.0,Glebocki05,1.76,A6V,HIP 27321,0,HD_39060,hot,8035,74,2012A&A...537A.120Z,,4.23,NA,2009A&A...493.1099S,0.14,0.05,2016ApJ...826..171G,1.504,,,0,0,0,0,1,NO,HIP 27321,HD_39060,0,HIP 27321,,,_
21.035,HIP 78527,HD_144284,4.01,0.528,0.013,47.54,0.12,HIP2,2.40,Sun-like,F9V,2009ApJS..180..117A,-0.05,2.35,0.958,L-A,,HIP 78527,1,0,0,0,0,1,-4.633,BoroSaikia18,26.4,Glebocki05,1.14,F9V,HIP 78527,1,HD_144284,high vsini,6240,80,2011A&A...530A.138C,,4.13,NA,1990ApJ...354..310B,0.20,NA,1990ApJ...354..310B,2.578,0,0.00,1,0,1,2,1,NO,HIP 78527,HD_144284,0,HIP 78527,1.52225069,240.47227,58.56525
16.223,HIP 50954,HD_90589,3.99,0.369,0.016,61.64,0.12,HIP2,2.94,hot,F3V,2006AJ....132..161G,-0.01,2.93,0.724,"L-A,Hab",113,HIP 50954,1,0,1,0,0,2,-4.685,Schroder09,40.7,Glebocki05,1.43,F3V,HIP 50954,0,HD_90589,hot,6905,80,2011A&A...530A.138C,,4.20,NA,NA,0.00,0.00,NA,1.609,0,#DIV/0!,0,0,0,0,2,NO,HIP 50954,HD_90589,0,HIP 50954,1.57290292,156.09877,-74.03161
10.541,HIP 14632,HD_19373,4.05,0.595,0.007,94.87,0.23,HIP2,3.94,Sun-like,G0V,1989ApJS...71..245K,-0.065,3.87,0.348,"L-A,L-B,Hab",50,HIP 14632,1,1,2,0,0,4,-5.028,Isaacson10,3.6,Glebocki05,1.08,G0V,HIP 14632,0,HD_19373,quiet,5968,63,2013ApJ...764...78R,,4.19,0.03,2013ApJ...764...78R,0.08,0.04,2013ApJ...764...78R,1.396,0,0.00,1,2,1,4,4,MUST,HIP 14632,HD_19373,GTO,HIP 14632,1.38275638,47.26675,49.613277
14.531,HIP 70497,HD_126660,4.05,0.497,0.005,68.82,0.14,HIP2,3.24,Sun-like,F7V,2001AJ....121.2148G,-0.035,3.21,0.614,Hab,90,HIP 70497,0,0,1,0,0,1,-4.361,Murgas13,28.6,Glebocki05,1.33,F7V,HIP 70497,1,HD_126660,,6335,NA,2006AJ....131.3069L,,4.08,0.02,2017ApJ...836...77Y,-0.02,0.10,2017ApJ...836...77Y,1.683,0,0.00,1,0,1,2,1,NO,HIP 70497,HD_126660,0,HIP 70497,,,_
14.937,HIP 59199,HD_105452,4.02,0.334,0.015,66.95,0.15,HIP2,3.15,hot,F1V,2006AJ....132..161G,0.005,3.15,0.634,"L-A,L-B,Hab",98,HIP 59199,1,1,1,0,0,3,-4.214,BoroSaikia18,23.8,Glebocki05,1.50,F1V,HIP 59199,0,HD_105452,hot,6990,80,2011A&A...530A.138C,,4.53,NA,2005AJ....129.1063L,-0.08,0.11,2005AJ....129.1063L,1.416,0,#DIV/0!,0,0,0,0,3,NO,HIP 59199,HD_105452,0,HIP 59199,1.10174056,182.10341,-24.728876
13.492,HIP 7513,HD_9826,4.10,0.536,0.007,74.12,0.19,HIP2,3.45,Sun-like,F8V,2001AJ....121.2148G,-0.04,3.41,0.532,"L-A,L-B,Hab,SR3",80,HIP 7513,1,1,1,0,1,4,-4.980,Isaacson10,9.0,Glebocki05,1.18,F8V,HIP 7513,0,HD_9826,hot,6239,37,2010MNRAS.403.1368G,,4.19,0.03,2010MNRAS.403.1368G,0.15,0.03,2010MNRAS.403.1368G,1.579,0,0.00,1,1,1,3,4,WANT,HIP 7513,HD_9826,0,HIP 7513,1.44535583,24.199345,41.40546
11.127,HIP 12777,HD_16895,4.10,0.514,0.002,89.87,0.22,HIP2,3.87,Sun-like,F7V,2001AJ....121.2148G,-0.035,3.83,0.363,"L-A,L-B,Hab",56,HIP 12777,1,1,1,0,0,3,-4.970,Wright04,8.6,Glebocki05,1.21,F7V,HIP 12777,0,HD_16895,hot,6329,37,2010MNRAS.403.1368G,,4.32,0.02,2010MNRAS.403.1368G,0.06,0.03,2010MNRAS.403.1368G,1.263,0,0.00,1,1,1,3,3,WANT,HIP 12777,HD_16895,0,HIP 12777,1.26016212,41.049942,49.228447
13.714,HIP 116771,HD_222368,4.13,0.507,0.006,72.92,0.15,HIP2,3.44,Sun-like,F7V,2001AJ....121.2148G,-0.035,3.41,0.532,"L-A,L-B,Hab",81,HIP 116771,1,1,1,0,0,3,-4.924,Isaacson10,6.3,Glebocki05,1.21,F7V,HIP 116771,1,HD_222368,hot,6211,52,2013ApJ...764...78R,,4.11,0.02,2013ApJ...764...78R,-0.12,0.04,2013ApJ...764...78R,1.594,0,0.00,1,1,1,3,3,WANT,HIP 116771,HD_222368,0,HIP 116771,1.60482041,354.98767,5.6262918
14.678,HIP 102485,HD_197692,4.13,0.426,0.005,68.13,0.27,HIP2,3.30,hot,F5V,2006AJ....132..161G,-0.02,3.28,0.585,"L-A,L-B,Hab",88,HIP 102485,1,1,1,0,0,3,-4.040,Gray06,42.2,Glebocki05,1.33,F5V,HIP 102485,0,HD_197692,hot,6638,80,2011A&A...530A.138C,,4.51,NA,2005AJ....129.1063L,0.04,0.10,2005AJ....129.1063L,1.483,0,#DIV/0!,0,0,0,0,3,NO,HIP 102485,HD_197692,0,HIP 102485,1.06159662,311.5239,-25.270897
6.043,HIP 15510,HD_20794,4.26,0.711,0.005,165.47,0.19,HIP2,5.35,Sun-like,G6V,1989ApJS...71..245K,-0.115,5.24,-0.199,"L-A,L-B,Hab,SR1",19,HIP 15510,1,1,3,1,0,6,-4.998,Henry96,0.9,Glebocki05,0.97,G6V,HIP 15510,0,HD_20794,quiet,5398,16,2013A&A...555A.150T,,4.41,0.02,2013A&A...555A.150T,-0.41,0.01,2013A&A...555A.150T,0.909,0,0.00,1,2,1,4,6,MUST,HIP 15510,HD_20794,0,HIP 15510,1.01723141,49.98188,-43.069782
9.262,HIP 105858,HD_203608,4.21,0.494,0.020,107.97,0.19,HIP2,4.38,Sun-like,F9V_Fe-1.4_CH-0.7,2006AJ....132..161G,-0.05,4.33,0.165,"L-A,L-B,Hab",40,HIP 105858,1,1,2,0,0,4,-4.491,Gray06,3.4,Glebocki05,1.14,F9V_Fe-1.4_CH-0.7,HIP 105858,1,HD_203608,active,6150,55,2013ApJ...764...78R,,4.35,0.03,2013ApJ...764...78R,-0.66,0.05,2013ApJ...764...78R,1.066,0,0.00,1,2,1,4,4,MUST,HIP 105858,HD_203608,0,HIP 105858,1.18164299,321.61087,-65.366196
18.047,HIP 36366,HD_58946,4.16,0.320,0.012,55.41,0.24,HIP2,2.88,hot,F1V,2003AJ....126.2048G,0.005,2.88,0.743,"L-A,L-B",,HIP 36366,1,1,0,0,0,2,,,52.3,Glebocki05,1.50,F1V,HIP 36366,0,HD_58946,hot,6738,55,2013ApJ...771...40B,,4.20,NA,NA,0.00,0.00,NA,1.726,0,#DIV/0!,0,0,0,0,2,NO,HIP 36366,HD_58946,0,HIP 36366,1.61094064,112.27799,31.78455
16.297,HIP 112447,HD_215648,4.20,0.502,0.007,61.36,0.19,HIP2,3.14,hot,F6V,2001AJ....121.2148G,-0.03,3.11,0.652,"L-A,L-B,Hab",112,HIP 112447,1,1,1,0,0,3,-4.935,BoroSaikia18,7.7,Glebocki05,1.25,F6V,HIP 112447,1,HD_215648,hot,6221,20,2005PASJ...57...27T,,3.94,0.05,2005PASJ...57...27T,-0.20,0.02,2005PASJ...57...27T,1.824,0,#DIV/0!,1,1,0,2,3,NO,HIP 112447,HD_215648,0,HIP 112447,1.98375846,341.67325,12.172888
9.129,HIP 64394,HD_114710,4.23,0.572,0.006,109.54,0.17,HIP2,4.43,Sun-like,F9.5V,1989ApJS...71..245K,-0.06,4.37,0.149,"L-A,L-B,Hab",39,HIP 64394,1,1,2,0,0,4,-4.745,Baliunas96,4.5,Glebocki05,1.11,F9.5V,HIP 64394,0,HD_114710,active,6034,61,2010MNRAS.403.1368G,,4.44,0.03,2010MNRAS.403.1368G,0.06,0.03,2010MNRAS.403.1368G,1.086,0,0.00,1,2,1,4,4,MUST,HIP 64394,HD_114710,0,HIP 64394,1.05122402,197.9683,27.878183
8.587,HIP 1599,HD_1581,4.23,0.576,0.010,116.46,0.16,HIP2,4.56,Sun-like,F9.5V,2006AJ....132..161G,-0.06,4.50,0.096,"L-A,L-B,Hab",30,HIP 1599,1,1,2,0,0,4,-4.839,Henry96,4.9,Glebocki05,1.11,F9.5V,HIP 1599,0,HD_1581,,5977,12,2008A&A...487..373S,,4.51,0.03,2008A&A...487..373S,-0.18,0.01,2008A&A...487..373S,1.041,0,0.00,1,2,1,4,4,MUST,HIP 1599,HD_1581,0,HIP 1599,0.96982906,5.0177503,-64.874794
8.440,HIP 61317,HD_109358,4.24,0.588,0.009,118.49,0.2,HIP2,4.61,Sun-like,G0V,1989ApJS...71..245K,-0.065,4.54,0.079,"L-A,L-B,Hab,SR1",31,HIP 61317,1,1,2,1,0,5,-4.970,Radick18,2.8,Glebocki05,1.08,G0V,HIP 61317,0,HD_109358,quiet,5887,26,2010MNRAS.403.1368G,,4.34,0.03,2010MNRAS.403.1368G,-0.20,0.02,2010MNRAS.403.1368G,1.052,0,0.00,1,2,1,4,5,MUST,HIP 61317,HD_109358,GTO,HIP 61317,1.16344437,188.43561,41.35748
