Number	NGC	RA1900	Dec1900	Galactic Longitude	Galactic Latitude	Diameter	Class	Description
200	6626	18 18.4	-24 55	335	-5.9	5	I	M 28. Globular cluster, well condensed.
201	6633	18 22.7	-6 30	3	7.4	20	III	An irregular clustering.
202	6637	18 24.8	-32 25	329	-10.6	2	I	M 69. Globular cluster, bright, not much falling off towards edge.
203	6642	18 25.8	-23 32	337	-6.8	1	I	Appears to be a globular cluster, but difficult to decide. Strongly condensed. Resembles other small globular clusters in star cloud in Sagittarius and surrounding region. Classed as a globular cluster in NGC.
204		18 25.8	-19 19	341	-5.4	40	II	An open cluster of fairly bright stars. Resembles NGC 6494. Not in NGC; noted by Bailey. Possibly this is 6647.
205	6645	18 26.8	-16 58	343	-4.3	10	II	Cluster in a very dense region.
206	6649	18 27.9	-10 28	349	-1.4	8	II	A very curious cluster falling in a vacant region. The diameter given is the minimum. A number of faint stars near would, if included, make the diameter 15’.
207	6652	18 29.2	-33 4	328	-12.1	1	I	Apparently a globular cluster, but difficult to decide. Strongly condensed and very bright. Similar to other small globular clusters about here. Doubtful.
208	6656	18 30.3	-23 59	337	-8.0	20	I	M 22. Globular cluster, bright, gradually condensed. One of the most remarkable of the globular clusters.
209	6664	18 31.3	-8 18	352	-1.4	18	III	Open cluster in a rich region; not very well defined.
210		18 34.0	+5 22	4	-4.0	45	III	An open cluster in a rich region. Not very well defined. Not in NGC, but noted by Bailey.
211	6681	18 36.7	-32 23	329	-12.9	2 ½	I	M 70. Globular cluster, bright, very little falling off towards edge.
212	6694	18 39.8	-9 30	351	-3.7	9	II	M 26. Loose cluster; not very well defined.
213	6705	18 45.7	-6 23	355	-3.4	10	I	M 11. Globular cluster, rather loose, fairly bright stars.
214	6709	18 46.8	+10 14	10	-3.9	12	III	A distinct loose cluster. Somewhat irregular outline.
215	6712	18 47.6	-8 50	353	-5.6	2 ½	I	Probably a globular cluster, though difficult to decide on plates; has a nebulous appearance with central condensation. Classed as a globular cluster in NGC; marked ? By Bailey.
216	6715	18 48.7	-30 36	332	-14.4	3	I	M 54. Globular cluster, bright, very condensed, little falling off towards edge.
217	6723	18 52.8	-36 46	327	-17.5	8	I	Globular cluster, bright, fine example though small.
218	6752	19 2.0	-60 8	303	-25.9	18	I	Very fine globular cluster, gradually brighter towards centre.
219	6760	19 6.1	+0 52	3	-4.6	1	I	Would appear to be a very small globular cluster, but is on so small a scale that it is difficult to decide. Has a nebulous appearance with central condensation. There is a great resemblance between this, NGC 6535, and 6539 (shown on plate 110). NGC 6712, on the same plate as 6760, is similar in appearance, but larger.
220	6779	19 12.7	+30 0	30	7.4	1 ½	I	M 56. Possibly a globular cluster, but doubtful. Very faint and diffuse. Classed as a globular cluster in NGC; marked ? By Bailey.
221	6809	19 33.7	-31 10	335	-23.7	14	I	M 55. Very fine globular cluster, gradually brighter towards centre. Large, bright.
222	6811	19 35.2	+46 20	47	11.1	15	III	An open cluster.
223	6819	19 37.9	+39 57	42	7.6	6	III	A clustering of faint stars in a rich region.
224	6830	19 46.8	+22 50	28	-2.6	8	III	An open cluster in a rich region.
225	6834	19 48.2	+29 9	33	0.4	4	II	Small cluster in a rich region.
226	6838	19 49.3	+18 31	24	-5.5	4	I	M 71. Appears to be a globular cluster, stars faint, not very condensed at centre, nebulous. Falls in a very rich region.
227		19 59	-79 36	281	-30.4		IV	A few bright stars forming a coarse cluster scattered over an area 1° square.
228	6864	20 0.2	-22 12	347	-26.8	2	I	M 75. Globular cluster, very bright, strongly condensed centre, with rapid falling off towards edge.
229	6866	20 0.5	+43 43	47	5.8	6	III	A clustering of stars in a rich region.
230	6934	20 29.3	+7 4	20	-19.9	1 ½	I	Appears to be a globular cluster, but difficult to decide. Very bright, condensed.
231	6939	20 29.4	+60 18	63	11.3	5	II	A cluster of faint stars. Not well shown on the plate.
232	6940	20 30.4	+27 58	38	-8.3	20	II	Somewhat irregular cluster, loose, but distinct.
233	6981	20 48.0	-12 55	3	-33.8	2	I	M 72. Globular cluster, small, fairly bright.
234	7078	21 25.2	+11 44	33	-27.8	6	I	M 15. Globular cluster. Well condensed at centre, outlying stars few and faint.
235	7089	21 28.3	-1 16	21	-36.6	8	I	M 2. Globular cluster, very bright, not much falling off towards edge.
236	7092	21 28.6	+48 0	61	-3.2	30	IV	M 39. A few bright stars forming a coarse cluster.
237	7099	21 34.7	-23 38	354	-47.9	6	I	M 30. Globular cluster, bright, strongly condensed at centre, with rapid falling off towards edge.
238	7209	22 1.2	+46 0	63	-8.2	20	III	An open clustering of stars in a rich region.
239		22 6.7	+52 20	67	-3.0	6	III	A loose cluster of faint stars. Not in NGC or Bailey.
240	7243	22 11.3	+49 23	66	-6.4	20	III	A loose clustering in a rich region.
241	7245	22 11.5	+53 50	69	-2.6	3	III	A small cluster. Not well shown on plate.
242	7492	23 3.1	-16 10	21	-64.3	3	I	Globular cluster, very loose, almost Class II, well-defined outline.
243	7654	23 19.8	+61 3	80	-0.2	12	II	M 52. Cluster in a rich region. There is a falling off in the star density to the north of the cluster.
244	7762	23 45.0	+67 28	84	5.2	10	III	A loose cluster of faint stars. Not well shown on plate.
245	7789	23 52.0	+56 10	83	-5.7	30	II	A fine open cluster of faint stars. Condensed towards centre.
